Brasil	Júlio César	Toronto	Canadá
Brasil	Thiago Silva	Paris Saint-Germain	França
Brasil	David Luiz	Chelsea	Inglaterra
Brasil	Daniel Alves	Barcelona	Espanha
Brasil	Marcelo	Real Madrid	Espanha
Brasil	Dante	Bayern Munchen	Alemanha
Brasil	Ramires	Chelsea	Inglaterra
Brasil	Paulinho	Tottenham	Inglaterra
Brasil	Luiz Gustavo	Wolfsburg	Alemanha
Brasil	Hernanes	Internazionale	Itália
Brasil	Oscar	Chelsea	Inglaterra
Brasil	Bernard	Shakhtar Donetsk	Rússia
Brasil	Willian	Chelsea	Inglaterra
Brasil	Robinho	Milan	Itália
Brasil	Neymar	Barcelona	Espanha
Brasil	Hulk	Zenit St Petersburg	Rússia
Brasil	Fred	Fluminense	Brasil
Croácia	Stipe Pletikosa	Rostov	Rússia
Croácia	Darijo Srna	Shakhtar Donetsk	Ucrânia
Croácia	Vedran Ćorluka	Lokomotiv Moskva	Rússia
Croácia	Ivan Strinić	Dnipro Dnipropetrovsk	Ucrânia
Croácia	Dejan Lovren	Southhampton	Inglaterra
Croácia	Domagoj Vida	Dynamo Kyiv	Ucrânia
Croácia	Šime Vrsaljko	Genoa	Itália
Croácia	Ognjen Vukojević	Dynamo Kyiv	Ucrânia
Croácia	Niko Kranjčar	Dynamo Kyiv	Ucrânia
Croácia	Luka Modrić	Real Madrid	Espanha
Croácia	Ivan Rakitić	Sevilla	Espanha
Croácia	Mateo Kovačić	Internazionale	Itália
Croácia	Ivan Perišić	Wolfsburg	Alemanha
Croácia	Ivica Olić	Wolfsburg	Alemanha
Croácia	Eduardo*	Shakhtar Donetsk	Ucrânia
Croácia	Nikica Jelavić	Hull City	Inglaterra
Croácia	Mario Mandžukić	Bayern Munchen	Alemanha
México	Jesús Corona	Cruz Azul	México
México	Rafael Márquez	Club Léon	México
México	Francisco Rodríguez	América	México
México	Héctor Moreno	Espanyol	Espanha
México	Miguel Layún	América	México
México	Paul Aguilar	América	México
México	Diego Reyes	Porto	Portugal
México	Andrés Guardado	Bayer 4 Leverkusen	Alemanha
México	Héctor Herrera	Porto	Portugal
México	Carlos Peña	Club Léon	México
México	Luis Montes	Club Léon	México
México	Giovani dos Santos*	Villarreal	Espanha
México	Aldo de Nigris	Chivas Guadalajara	México
México	Javier Hernández	Manchester United	Inglaterra
México	Oribe Peralta	Club Santos Laguna	México
México	Raúl Jiménez	América	México
México	Moisés Muños	América	México
Camarões	Charles Itandje	Konyaspor	Turquia
Camarões	Aurélen Chedjou	Galatasaray	Turquia
Camarões	Dany Nounkenu	Beşiktaş	Turquia
Camarões	Henri Bedimo	Olympique Lyonnais	França
Camarões	Benoît Assou-Ekotto	Queens Park Rangers	Inglaterra
Camarões	Joel Matip	Schalke 04	Alemanha
Camarões	Stéphane Mbia	Sevilla	Espanha
Camarões	Alex Song	Barcelona	Espanha
Camarões	Eyong Enoh	Antalyaspor	Turquia
Camarões	Jean Makoun	Stade Rennais	França
Camarões	Landry N'Guémo	Bordeaux	França
Camarões	Vincent Aboubakar	Lorient	França
Camarões	Eric Choupo-Moting	FSV Mainz 05	Alemanha
Camarões	Benjamin Moukandjo	Nancy-Lorraine	França
Camarões	Pierre Webó	Fenerbahçe	Turquia
Camarões	Samuel Eto'o	Chelsea	Inglaterra
Espanha	Iker Casillas	Real Madrid	Espanha
Espanha	Sergio Ramos	Real Madrid	Espanha
Espanha	Gerard Piqué	Barcelona	Espanha
Espanha	Raúl Albiol	Napoli	Itália
Espanha	Álvaro Arbeloa	Real Madrid	Espanha
Espanha	Jordi Alba	Barcelona	Espanha
Espanha	Xabi Alonso	Real Madrid	Espanha
Espanha	Sergio Busquets	Barcelona	Espanha
Espanha	Xavi Hernández	Barcelona	Espanha
Espanha	Andrés Iniesta	Barcelona	Espanha
Espanha	Cesc Fàbregas	Barcelona	Espanha
Espanha	David Silva	Manchester City	Inglaterra
Espanha	Jesús Navas	Manchester City	Inglaterra
Espanha	Juan Mata	Chelsea	Inglaterra
Espanha	Pedro Rodríguez	Barcelona	Espanha
Espanha	David Villa	Atlético de Madrid	Espanha
Espanha	Álvaro Negredo	Manchester City	Inglaterra
Holanda	Jasper Cillessen	Ajax	Holanda
Holanda	Daryl Janmaat	Feyenoord	Holanda
Holanda	Stefan de Vrij	Feyenoord	Holanda
Holanda	Ron Vlaar	Aston Villa	Inglaterra
Holanda	Bruno Martins Indi	Feyenoord	Holanda
Holanda	Daley Blind	Ajax	Holanda
Holanda	Jordy Clasie	Feyenoord	Holanda
Holanda	Nigel de Jong	Milan	Itália
Holanda	Kevin Strootman	Roma	Itália
Holanda	Rafael van der Vaart	Hamburger	Alemanha
Holanda	Wesley Sneijder	Galatasaray	Turquia
Holanda	Arjen Robben	Bayern Munchen	Alemanha
Holanda	Memphis Depay	Eindhoven	Holanda
Holanda	Dirk Kuyt	Fenerbahçe	Turquia
Holanda	Jeremain Lens	Dynamo Kyiv	Ucrânia
Holanda	Klaas-Jan Huntelaar	Schalke 04	Alemanha
Holanda	Robin van Persie	Manchester United	Inglaterra
Chile	Claudio Bravo	Real Sociedad	Espanha
Chile	Marcos González	Flamengo	Brasil
Chile	Eugenio Mena	Santos	Brasil
Chile	José Manuel Rojas	Universidad de Chile	Chile
Chile	Gary Medel	Sevilla	Espanha
Chile	Mauricio Isla	Juventus	Itália
Chile	Jorge Valdivia	Palmeiras	Brasil
Chile	David Pizarro	Fiorentina	Itália
Chile	Matías Fernández	Fiorentina	Itália
Chile	Arturo Vidal	Juventus	Itália
Chile	Jean Beausejour	Wigan Athletic	Inglaterra
Chile	Charles Aránguiz	Internacional	Brasil
Chile	Mauricio Pinilla	Cagliari	Itália
Chile	Eduardo Vargas	Valencia	Espanha
Chile	Alexis Sánchez	Barcelona	Espanha
Austrália	Mathew Ryan	Club Brugge	Bélgica
Austrália	Lucas Neill	Al Jazera	Emirados Árabes
Austrália	Jason Davidson	Heracles Almelo	Holanda
Austrália	Mark Milligan	Melbourne Victory	Austrália
Austrália	Ivan Franjić	Brisbane Roar	Austrália
Austrália	Rhys Williams	Middlesbrough	Inglaterra
Austrália	Brett Holman	Al Nasr	Emirados Árabes
Austrália	Mike Jedinak	Crystal Palace	Inglaterra
Austrália	Matt Mckay	Brisbane Roar	Austrália
Austrália	Mark Bresciano	Al-Gharafa	Catar
Austrália	Tom Rogic	Celtic	Escócia
Austrália	Tim Cahill	Ney York Red Bulls	Estados Unidos
Austrália	Dario Vidošić	Sion	Suíça
Austrália	Tommy Oar	Utrecht	Holanda
Austrália	Bem Halloran	Fortuna Düsseldorf	Alemanha
Austrália	Mathew Leckie	Frankfurt	Alemanha
Austrália	Joshua Kennedy	Nagoya Grampus	Japão
Colômbia	David Ospina	Nice	França
Colômbia	Mario Yepes	Atalanta	Itália
Colômbia	Cristían Zapata	Milan	Itália
Colômbia	Luis Perea	Cruz Azul	México
Colômbia	Pablo Armero	West Ham	Inglaterra
Colômbia	Camilo Zúñiga	Napoli	Itália
Colômbia	Aldo Ramírez	Monarcas Morelia	México
Colômbia	Carlos Sánchez	Elche	Espanha
Colômbia	Abel Aguilar	Toulouse	França
Colômbia	Fredy Guarín	Internazionale	Itália
Colômbia	Juan Cuadrado	Fiorentina	Itália
Colômbia	Macnelly Torres	Al Shabab	Arábia Saudita
Colômbia	Carlos Bacca	Sevilla	Espanha
Colômbia	James Rodríguez	Monaco	França
Colômbia	Teófilo Gutiérrez	River Plate	Argentina
Colômbia	Jackson Martínez	Porto	Portugal
Colômbia	Falcao	Monaco	França
Grécia	Orestis Karneziz	Granada	Espanha
Grécia	silis Torosidis	Roma	Itália
Grécia	Sokratis Papastathopoulos	Borussia Dortmund	Alemanha
Grécia	Giannis Maniatis	Olympiacos	Grécia
Grécia	José Holebas	Olympiacos	Grécia
Grécia	Kostas Manolas	Olympiacos	Grécia
Grécia	Andreas Samaris	Olympiacos	Grécia
Grécia	Giorgios Karagounis	Fullham	Inglaterra
Grécia	Kostas Katsouranis	PAOK 	Grécia
Grécia	Alexandros Tziolis	Kayserispor	Turquia
Grécia	Panagiotis Kone	Bologna	Itália
Grécia	Sotiris Ninis	PAOK 	Grécia
Grécia	Geiorgos Samaras	Celtic	Escócia
Grécia	Dimitris Salpingidis	PAOK 	Grécia
Grécia	Fanis Gekas	Konyaspor	Turquia
Grécia	Kostas Motriglou	Fullham	Inglaterra
Costa do Marfim	Boubacar Barry	Lokeren	Bélgica
Costa do Marfim	Kolo Touré	Liverpool	Inglaterra
Costa do Marfim	Serge Aurier	Toulouse	França
Costa do Marfim	Souleymane Bamba	Trabzonspor	Turquia
Costa do Marfim	Arthur Boka	Stuttgart	Alemanha
Costa do Marfim	Benjamin Angoua	Valenciennes	França
Costa do Marfim	Didier Zokora	Trabzonspor	Turquia
Costa do Marfim	Yaya Touré	Manchester City	Inglaterra
Costa do Marfim	Cheick Tioté	Newcastle	Inglaterra
Costa do Marfim	Jean-Jacques Gosso	Gençlerbirliği	Turquia
Costa do Marfim	Serey Die	Basel	Suíça
Costa do Marfim	Romaric	Bastia	França
Costa do Marfim	Gervinho	Roma	Itália
Costa do Marfim	Salomon Kalou	Lille	França
Costa do Marfim	Wilfried Bony	Swansea City	País de Gales
Costa do Marfim	Lacina Traoré	Everton	Inglaterra
Costa do Marfim	Didier Drogba	Galatasaray	Turquia
Japão	Eiji Kawashima	Standard de Liège	Bélgica
Japão	Maya Yoshida	Southampton	Inglaterra
Japão	Yasuyuki Konno	Gamba Osaka	Japão
Japão	Atsuto Uchida	Schalke 04	Alemanha
Japão	Yuto Nagatomo	Internazionale	Itália
Japão	Gotoku Sakai	Stuttgart	Alemanha
Japão	Hiroki Sakai	Hannover 96	Alemanha
Japão	Masato Morishige	Tokyo	Japão
Japão	Yasuhito Endo	Gamba Osaka	Japão
Japão	Makoto Hasebe	Nürnberg	Alemanha
Japão	Keisuke Honda	Milan	Itália
Japão	Hotaru Tamaguchi	Cerezo Osaka	Japão
Japão	Hiroshi Kiyotake	Nürnberg	Alemanha
Japão	Shinji Kagawa	Manchester United	Inglaterra
Japão	Shinji Okazaki	FSV Mainz 05	Alemanha
